ID,Age,Experience,Income,ZIP Code,Family,CCAvg,Education,Mortgage,Personal Loan,Securities Account,CD Account,Online,CreditCard
123,61,11,99,97319,1,4.1,1,55,0,1,0,1,1
124,49,17,172,97532,1,1.3,2,212,0,0,0,1,0
125,31,10,111,97366,3,6.8,3,93,0,0,0,1,1
126,37,15,66,92648,1,6.09,3,291,0,0,0,1,1
127,37,17,57,96903,4,0.94,1,127,0,0,1,1,1
128,48,34,158,91858,4,2.07,3,216,0,0,0,1,1
129,64,25,34,91102,2,4.68,1,198,0,0,0,1,0
130,35,15,20,92481,3,5.63,3,19,0,0,0,1,0
131,54,5,154,91820,1,1.53,3,54,0,1,0,1,0
132,61,11,20,93158,4,2.34,2,245,0,0,1,1,1
133,54,12,68,93684,3,1.95,2,250,0,0,0,1,0
134,26,3,115,97411,3,2.15,3,59,0,0,0,1,1
135,52,38,176,99447,1,7.41,2,162,0,0,0,1,0
136,59,1,45,93651,3,5.87,3,201,0,0,0,1,1
137,45,25,106,97707,1,6.03,1,226,0,0,1,1,0
138,61,26,192,98461,1,6.45,3,128,0,0,0,1,1
139,37,26,112,98107,1,3.17,3,44,0,0,0,1,1
140,51,14,121,96881,3,6.25,2,196,0,0,0,0,1
141,58,7,90,96220,3,7.84,2,165,0,0,0,1,0
142,35,6,159,94830,1,5.74,1,246,0,0,0,1,1
143,54,39,114,94979,3,3.63,1,225,0,0,0,1,1
144,29,11,179,97334,1,5.87,1,279,0,0,0,1,1
145,44,12,137,93775,2,7.26,3,259,0,0,0,1,1
146,50,16,167,99304,3,1.47,1,196,0,1,0,1,1
147,24,16,138,90648,3,2.49,1,106,0,0,0,0,1
148,64,35,70,99371,2,7.39,2,268,0,0,0,1,1
149,28,20,100,90016,2,7.6,2,231,0,0,0,0,0
150,50,7,55,98308,2,4.13,1,100,0,0,0,0,1
151,50,4,86,96476,1,3.31,1,159,0,1,0,1,0
152,42,25,148,95942,1,2.62,3,94,0,1,0,1,1
153,52,15,133,91545,4,4.24,3,206,0,0,0,0,1
154,33,35,174,92693,2,7.51,2,234,0,0,0,1,1
155,50,27,130,97599,4,1.62,1,153,0,1,0,1,1
156,47,28,187,94089,1,3.65,1,99,1,0,0,1,1
157,61,11,161,96259,3,7.34,1,237,0,0,0,1,1
158,55,36,119,95058,2,3.12,1,106,0,0,0,1,1
159,23,29,128,99468,3,6.26,1,129,0,0,0,1,1
160,49,22,139,93240,1,3.42,3,298,0,0,0,1,1
161,35,15,98,94942,2,6.54,3,42,0,1,0,0,1
162,63,13,153,93788,4,7.86,1,62,1,0,0,1,1
163,25,9,180,96953,4,3.41,3,72,0,0,0,1,1
164,61,6,38,90371,1,6.84,3,185,1,0,0,0,1
165,28,36,146,97020,3,7.91,1,116,0,0,0,1,1
166,30,28,48,97120,1,7.88,3,4,1,0,0,0,1
167,49,2,43,95702,3,3.75,1,75,0,0,1,1,0
168,31,14,170,98347,1,4.14,3,290,0,0,0,1,1
169,59,35,29,92661,4,2.78,1,82,0,0,0,1,0
170,55,18,124,97180,3,2.86,1,59,0,0,0,1,0
171,64,12,188,96651,1,4.19,3,106,0,0,0,1,1
172,46,20,196,98656,2,2.0,3,116,0,0,0,1,0
173,37,36,164,94878,4,5.83,2,81,0,0,0,0,1
174,54,26,192,94315,4,4.52,1,140,0,0,0,1,1
175,54,28,177,96158,2,7.24,1,221,0,0,0,0,1
176,46,19,191,99965,1,6.58,1,69,0,0,0,1,1
177,63,24,74,98308,3,2.92,1,11,0,0,0,0,1
178,34,5,166,96474,4,4.29,3,296,0,0,0,1,0
179,61,35,176,91374,1,6.13,3,104,0,1,0,1,1
180,24,1,21,97393,2,1.95,2,206,0,0,0,1,0
181,25,21,183,94403,3,0.74,1,64,0,0,0,1,1
182,59,31,166,93546,1,6.89,2,62,1,0,0,1,1
183,39,15,154,93977,1,1.53,2,177,0,0,0,1,1
184,24,17,173,99388,4,7.17,2,7,0,0,0,1,1
185,24,4,130,93411,4,7.35,2,158,0,0,1,1,1
186,50,35,57,98988,3,3.96,2,10,0,1,0,1,1
187,45,29,150,93892,1,6.55,3,272,0,0,0,1,1
188,59,18,121,97324,2,3.22,3,94,0,1,0,0,1
189,54,22,114,98342,2,6.94,2,154,0,1,0,1,0
190,55,33,111,93249,3,6.69,3,205,1,0,0,1,1
191,23,12,90,90111,1,1.09,3,114,1,0,0,1,1
192,41,28,190,90682,4,4.87,2,86,0,0,0,1,1
193,24,35,43,91161,1,5.3,3,196,0,0,0,1,0
194,48,21,186,97400,4,0.51,3,97,0,0,0,0,1
195,54,35,87,92379,2,7.85,1,18,0,0,0,1,1
196,28,8,147,95426,3,3.55,2,15,0,0,0,1,0
197,54,38,112,98352,3,4.38,1,44,0,0,0,1,1
198,26,18,63,91425,3,1.96,1,154,0,0,0,1,1
199,33,37,152,93661,4,5.08,2,230,0,0,0,0,1
200,39,5,74,98469,2,6.58,1,156,0,0,0,1,1
201,60,14,177,99748,2,4.89,1,112,0,1,0,1,0
202,46,19,48,97040,3,6.41,3,43,0,0,0,1,1
203,27,8,173,94592,3,5.98,1,109,1,0,0,1,0
204,56,31,173,97530,4,2.28,2,110,0,1,0,1,0
205,28,3,56,93107,4,3.77,3,222,0,0,0,1,1
206,44,17,134,90302,1,1.61,3,264,0,0,0,0,1
207,33,4,177,94533,4,0.81,3,270,0,0,0,1,0
208,38,19,22,92773,1,0.97,2,211,0,0,0,1,0
209,55,22,141,97199,3,7.57,2,257,0,1,0,1,1
210,31,10,62,94281,2,7.88,2,246,0,0,0,1,0
211,28,36,26,94768,4,1.21,1,54,0,0,0,1,1
212,38,21,144,91000,2,3.01,1,71,0,0,0,0,1
213,51,3,68,91718,4,1.36,3,295,0,0,1,0,1
214,25,28,140,97169,4,6.76,3,212,0,0,0,1,0
215,42,33,92,97361,1,4.22,2,294,0,0,0,1,1
216,58,12,60,93830,4,5.16,2,170,0,0,0,1,1
217,41,8,125,97154,3,4.55,1,245,0,0,1,0,0
218,48,30,96,95020,2,5.83,1,140,0,0,0,1,1
219,25,6,146,92882,4,2.89,2,103,1,0,0,0,1
220,41,3,110,90998,2,1.53,2,104,0,0,0,1,0
221,42,18,174,90284,2,0.63,1,239,0,0,0,1,0
222,54,29,27,98612,2,3.84,3,279,0,0,0,0,1
223,29,30,51,92160,4,7.31,3,21,1,0,0,1,0
224,63,34,83,93065,1,2.79,1,77,0,0,0,1,0
225,55,20,157,91494,2,1.97,1,194,0,0,0,1,1
226,62,30,32,94623,2,7.45,3,20,0,0,0,1,1
227,61,18,112,92543,4,1.29,1,159,0,0,0,1,1
228,40,30,182,94800,4,0.89,3,231,0,0,1,1,1
229,62,31,80,98913,3,7.1,3,43,0,0,0,1,1
230,23,1,27,91401,3,5.76,1,296,1,1,0,1,1
231,33,9,48,90445,1,3.67,2,179,0,0,0,0,1
232,50,1,114,94522,1,6.14,2,100,0,0,0,1,1
233,47,1,60,93767,1,6.06,2,114,0,0,0,1,1
234,45,23,177,92551,1,0.8,2,212,0,0,0,0,1
235,53,16,168,95646,2,5.57,2,17,0,0,0,1,1
236,52,31,30,93888,4,5.31,2,26,0,0,0,1,1
237,64,15,21,94816,3,7.73,2,284,0,0,0,0,1
238,57,15,197,92731,2,7.75,1,148,0,0,0,1,1
239,29,38,188,97699,4,3.33,1,284,0,0,0,1,0
240,38,30,150,92629,4,4.92,2,136,0,0,0,0,1
241,48,23,99,97687,2,1.56,1,188,0,0,0,1,0
242,24,0,198,91057,2,1.0,3,189,0,0,0,1,1
243,23,10,106,96834,3,3.75,2,198,0,0,0,0,1
244,34,20,172,98949,1,5.67,3,101,0,0,0,1,1
245,27,3,177,91795,1,4.76,1,90,0,0,0,1,1
246,59,6,125,99835,3,3.72,2,223,0,0,0,1,0
247,54,25,158,94849,3,6.64,3,4,1,0,0,1,1
248,31,11,36,98215,1,6.46,1,14,0,0,0,1,1
249,63,30,173,99431,2,5.99,2,4,0,0,0,0,0
250,57,16,42,94150,1,1.08,2,229,0,0,0,1,1
251,41,32,199,99496,4,6.47,3,113,0,0,0,0,1
252,38,10,67,96947,4,7.4,3,3,0,0,0,1,1
253,25,27,39,96470,3,0.95,3,183,0,0,0,1,0
254,42,31,21,97179,1,3.51,1,212,0,0,0,1,1
255,46,0,107,93712,1,7.91,3,246,0,0,0,1,0
256,55,27,50,95458,4,4.99,3,33,0,0,0,1,1
257,46,6,174,95315,1,4.35,3,295,0,0,0,0,1
258,33,1,149,95381,3,1.83,2,195,0,0,0,1,1
259,30,23,97,99497,3,4.74,3,126,0,0,0,1,1
260,58,3,23,93174,4,3.79,3,141,1,0,0,1,1
261,60,18,160,96387,1,1.46,1,135,0,1,0,1,0
262,62,25,182,98973,1,3.98,1,127,0,0,0,1,1
263,42,10,147,96767,4,1.73,3,173,0,0,0,1,1
264,57,39,153,90566,2,5.98,1,217,0,0,0,1,0
265,47,10,50,94622,2,7.8,1,113,0,0,0,0,1
266,57,2,157,94132,1,4.02,1,11,0,0,0,0,0
267,47,11,40,98830,3,5.24,2,243,1,0,0,1,1
268,51,2,42,96995,2,3.73,3,51,0,0,0,1,1
269,40,26,150,94167,1,1.54,3,185,0,0,0,1,1
270,40,1,179,92670,2,7.78,3,232,0,0,0,1,1
271,24,15,167,99364,4,1.47,1,1,0,0,0,1,1
272,57,1,48,99912,2,1.34,1,0,0,1,0,0,1
273,38,29,124,98296,2,3.94,1,238,0,0,0,1,1
274,63,19,71,91682,4,5.44,2,54,0,0,0,0,0
275,58,37,134,99054,3,3.16,1,219,1,1,0,1,0
276,55,27,193,98490,1,1.94,2,103,0,0,0,1,1
277,26,24,181,90770,3,6.64,3,276,0,0,0,1,0
278,55,31,120,99654,3,3.22,1,9,1,0,0,1,0
279,36,9,103,93854,2,1.96,2,103,0,0,0,0,1
280,43,39,80,93118,1,3.24,2,197,0,0,0,0,0
281,42,32,144,92132,2,2.11,1,13,0,0,0,1,1
282,30,12,90,99901,4,4.4,2,167,0,0,1,1,1
283,29,36,89,97225,3,5.51,1,29,0,0,0,1,1
284,25,15,158,90990,3,6.5,2,13,0,0,0,1,1
285,39,21,127,90710,4,2.21,3,237,1,0,0,1,0
286,55,19,40,94304,1,1.75,3,61,0,0,0,1,1
287,34,26,150,95367,3,0.65,3,109,0,1,0,1,0
288,44,15,101,90038,3,2.21,1,159,0,0,0,1,1
289,44,33,107,91275,1,0.68,3,54,0,1,0,1,1
290,52,31,130,97069,2,3.09,3,248,0,0,0,1,1
291,60,25,29,94857,4,1.59,3,255,0,0,0,1,0
292,60,24,174,91436,1,4.85,1,21,0,0,0,1,1
293,30,1,31,99661,4,3.38,2,102,0,0,0,1,1
294,49,11,26,92099,4,1.2,1,263,0,0,0,1,1
295,49,39,164,98565,3,3.5,1,235,0,0,0,1,1
296,56,8,133,97693,1,2.07,3,232,0,0,0,0,0
297,43,11,45,94251,4,5.6,2,167,0,0,0,1,1
298,52,25,34,94025,2,3.23,3,232,0,1,0,0,0
299,55,8,52,99305,4,1.6,3,4,1,0,0,1,1
300,50,9,81,96212,3,3.12,1,44,0,0,0,0,0
301,55,31,66,93234,2,2.18,1,45,1,0,0,1,1
302,27,33,114,99457,2,6.47,1,163,0,0,0,1,1
303,41,19,54,97662,1,7.88,3,168,0,1,0,1,1
304,26,38,95,97550,2,0.69,2,163,0,0,0,1,0
305,57,1,142,93123,1,5.68,2,255,0,0,0,1,1
306,39,0,102,90653,1,2.48,3,65,0,0,0,0,0
307,50,35,44,94158,2,1.0,2,259,0,0,0,1,1
308,52,23,76,98700,1,0.61,3,87,0,0,0,0,1
309,51,26,51,99879,1,7.11,2,239,0,1,0,1,1
310,28,1,82,95543,2,3.15,3,58,0,0,0,1,1
311,57,30,31,99580,3,7.96,2,169,1,1,0,1,1
312,63,13,82,92197,4,3.82,1,257,0,0,0,1,1
313,59,1,96,93911,1,1.91,1,45,0,0,0,1,1
314,46,28,111,95235,1,6.33,1,1,0,0,0,1,1
315,51,14,20,94799,2,7.45,1,128,0,0,0,0,0
316,53,11,198,98707,4,6.62,3,268,0,0,0,1,1
317,57,36,89,95360,4,6.09,2,277,1,0,0,1,1
318,55,27,155,98221,1,3.01,3,16,0,0,0,1,1
319,43,19,152,90325,2,0.98,1,186,0,0,0,1,1
320,54,38,105,93766,3,2.01,2,115,0,0,0,0,1
321,45,23,58,94111,4,3.85,3,258,0,0,0,1,1
322,55,20,42,98302,3,7.67,1,248,0,0,0,0,0
323,25,9,87,97015,2,5.92,2,197,0,0,0,1,0
324,40,13,199,96856,3,6.71,2,226,0,0,0,1,1
325,47,36,23,90106,2,2.58,1,176,0,0,0,1,1
326,64,17,145,92426,1,5.63,1,242,0,0,0,1,0
327,53,23,194,94378,3,6.97,2,34,0,0,0,0,1
328,25,13,40,94364,1,4.1,1,134,0,0,0,0,1
329,62,33,124,92531,1,3.72,3,9,0,0,0,1,1
330,46,11,85,96810,2,5.9,1,182,0,0,0,0,1
331,54,21,26,95316,3,4.7,1,201,0,0,0,0,1
332,44,5,68,95362,4,7.95,1,18,0,0,0,0,1
333,45,35,35,94693,3,3.69,2,22,0,0,0,1,0
334,24,35,164,98990,4,1.82,2,94,0,0,0,1,1
335,49,21,103,95268,1,4.04,1,63,1,0,0,1,1
336,64,13,106,92011,1,2.26,2,219,0,0,0,0,1
337,24,15,117,90425,2,4.71,1,95,0,0,0,0,1
338,48,35,94,93044,4,1.44,3,264,0,0,0,1,1
339,39,24,53,96229,3,7.62,2,156,0,0,0,1,0
340,62,31,180,91239,2,6.95,1,206,0,0,0,1,1
341,55,32,45,96566,2,1.67,2,273,0,0,0,1,1
342,31,35,85,93391,2,1.79,3,245,0,0,0,1,1
343,61,19,144,94213,3,4.34,3,198,0,0,0,0,1
344,51,17,82,93997,2,6.3,1,284,0,0,0,1,1
345,64,37,106,93006,3,2.14,2,82,0,1,0,0,1
346,48,2,60,97025,2,0.96,3,132,0,0,0,1,0
347,57,22,117,93039,4,4.59,2,104,0,0,0,1,1
348,47,31,143,96558,1,5.69,1,236,0,0,0,1,1
349,46,15,98,98790,4,2.33,3,68,0,0,0,0,1
350,35,4,29,91184,4,6.05,3,183,0,0,0,0,1
351,29,3,34,92584,2,7.63,2,117,0,0,0,1,1
352,58,20,61,98102,4,1.53,3,179,0,0,0,1,0
353,42,39,112,97116,4,4.33,1,270,0,1,1,1,0
354,23,13,36,94383,4,0.93,1,89,1,0,0,1,0
355,30,38,28,93936,2,2.05,3,87,0,0,0,1,1
356,38,30,133,91699,3,1.17,1,82,0,0,0,1,1
357,36,13,55,94507,1,3.53,3,19,0,0,0,1,1
358,34,5,55,90135,1,6.66,3,106,0,0,0,1,0
359,45,11,67,92025,3,4.83,3,271,0,0,0,0,0
360,37,15,70,93535,3,2.17,3,97,0,0,0,1,1
361,50,16,116,94854,4,0.8,2,231,0,0,0,0,1
362,56,22,138,95367,1,4.65,3,56,0,0,0,0,1
363,24,13,114,92890,3,1.5,1,148,0,0,0,1,1
364,54,6,89,92757,4,3.07,2,234,0,0,0,1,1
365,45,31,93,93773,1,4.33,1,136,0,0,0,1,1
366,44,14,99,98572,2,7.28,3,266,0,1,0,1,1
367,47,16,87,96652,2,1.11,1,228,0,0,0,1,1
368,44,33,169,91528,1,5.51,2,281,0,0,0,1,1
369,44,4,96,94571,1,0.61,1,201,0,0,0,1,0
370,64,26,135,95049,2,5.22,2,231,0,0,0,1,1
371,28,22,25,90848,2,4.64,3,18,0,0,0,1,1
372,37,39,173,94127,1,6.59,3,15,0,0,0,1,1
373,59,13,94,97351,4,4.49,1,55,0,0,1,1,1
374,55,14,107,95866,3,3.14,1,113,0,0,0,0,1
375,30,32,22,95869,3,2.32,3,67,0,0,1,1,1
376,27,30,71,92121,1,1.14,3,77,0,0,0,1,1
377,61,34,93,94681,3,4.51,1,29,1,0,0,0,1
378,26,16,144,90472,2,7.16,3,6,0,0,0,0,1
379,28,27,84,91787,2,4.36,2,151,0,0,0,1,1
380,54,18,71,90113,3,6.04,2,21,0,0,0,1,0
381,52,22,95,99528,1,2.74,1,29,0,0,0,1,0
382,57,31,161,96473,2,3.86,1,166,0,0,0,1,0
383,62,39,108,98530,4,2.93,3,147,0,0,0,1,1
384,38,12,91,92285,4,1.32,3,48,0,0,0,1,1
385,35,19,87,91196,2,3.63,2,297,0,0,0,1,1
386,64,34,175,90078,2,6.23,1,261,0,0,1,1,0
387,52,4,157,94559,3,3.46,1,180,0,0,0,1,0
388,41,8,134,96017,1,5.38,1,289,0,0,1,1,1
389,39,28,76,92652,3,6.19,1,121,0,0,1,1,0
390,41,5,85,94318,1,2.92,2,123,0,0,0,0,1
391,50,24,109,95385,4,6.48,2,265,0,0,0,1,1
392,48,30,69,99448,4,3.04,1,27,0,1,0,1,1
393,59,21,33,97054,1,2.42,2,258,0,0,0,0,1
394,48,1,35,90827,3,2.17,1,76,0,1,0,1,1
395,45,4,190,94923,2,2.0,2,193,0,0,0,1,1
396,31,26,61,93385,1,6.03,3,34,1,0,0,0,1
397,34,24,129,96056,3,7.16,2,113,0,0,0,1,1
398,23,7,41,91965,4,2.23,1,61,0,0,0,1,1
399,23,0,87,92427,2,1.14,3,51,0,0,0,1,0
400,56,19,38,92841,4,2.85,1,115,0,0,0,1,1
401,54,22,85,98805,1,5.43,3,46,0,0,1,1,0
402,47,31,186,98754,4,3.26,3,100,0,0,0,0,1
403,62,10,92,96563,4,4.62,2,278,0,0,0,1,0
404,23,38,166,95840,1,6.08,2,106,0,0,0,1,1
405,38,23,163,97810,2,3.56,3,34,0,0,0,1,0
406,61,10,73,96064,1,8.0,3,287,0,0,0,0,1
407,27,28,172,97144,3,2.73,3,1,0,0,0,1,0
408,44,25,131,94352,1,7.84,1,238,0,1,0,1,1
409,51,15,37,90184,1,2.02,2,271,0,0,0,0,1
410,25,34,170,95809,2,1.33,1,143,0,0,0,0,1
411,34,19,136,94065,3,6.13,2,91,0,0,0,1,0
412,48,2,104,97181,4,5.77,1,220,0,0,0,1,1
413,38,0,158,98437,4,6.58,2,53,0,0,0,1,1
414,59,0,58,97504,4,3.08,3,227,0,0,0,0,1
415,44,16,124,97426,4,7.48,3,32,0,0,0,1,1
416,51,1,87,99057,2,1.4,2,213,0,0,0,1,1
417,36,28,44,92087,3,0.73,3,135,0,0,0,1,1
418,50,19,177,90600,2,2.75,3,247,0,0,0,0,1
419,27,5,192,97804,1,6.48,1,52,0,0,0,1,1
420,52,7,142,95537,3,5.55,2,63,1,0,0,0,1
421,27,28,140,93033,3,3.77,3,36,0,0,0,1,1
422,34,32,80,92056,4,2.42,2,211,0,0,0,0,0
423,38,2,119,98724,4,0.94,1,11,0,0,0,1,1
424,48,34,70,95084,4,3.03,2,83,0,0,0,1,1
425,48,4,117,92042,4,3.95,1,93,0,0,0,1,0
426,43,26,156,97960,1,5.65,1,206,0,0,0,1,1
427,61,11,21,90357,4,5.34,1,37,0,0,0,1,0
428,58,19,24,90377,2,7.61,3,202,0,0,0,1,0
429,55,19,199,94488,3,1.25,1,269,0,0,0,1,1
430,52,8,105,94797,1,3.02,2,74,0,0,0,1,1
431,59,38,152,93307,1,4.11,2,127,1,0,0,1,0
432,45,3,87,92596,3,5.53,3,151,0,0,0,1,0
433,32,18,28,90783,3,4.22,3,9,0,0,0,1,0
434,27,37,112,95924,3,7.35,1,37,0,0,0,1,1
435,58,26,169,92379,1,5.07,1,104,0,0,0,1,1
436,56,12,174,97831,2,0.8,1,164,1,1,0,1,0
437,53,12,157,99174,2,1.35,3,31,0,0,0,1,1
438,32,21,144,99234,3,6.15,3,211,1,0,0,1,1
439,41,27,80,95267,1,5.87,2,13,0,0,0,0,1
440,54,21,70,97638,4,1.65,1,229,0,0,0,1,0
441,23,18,29,92538,1,0.94,1,131,0,0,0,1,1
442,27,7,153,90861,3,4.84,2,151,1,0,1,1,1
443,26,7,81,91876,1,5.27,2,95,0,0,0,1,1
444,38,25,132,93526,1,1.51,2,9,0,0,0,1,1
445,46,25,152,99877,1,4.05,2,15,0,1,0,1,0
446,38,22,141,91622,4,2.79,1,166,0,0,0,1,1
447,24,12,142,95518,3,7.48,3,95,0,1,0,0,1
